nx,ny,nz,dt,tsr,cp,cd
32.0,32.0,24.0,0.03,1.911051410228812,0.2680593247454089,0.9666924366863566
32.0,32.0,24.0,0.025,1.9110462451289256,0.2602740805350388,0.9593825340445704
32.0,32.0,24.0,0.02,1.911035134704636,0.25253520312261124,0.9523251048458674
32.0,32.0,24.0,0.015,1.9110180667391543,0.2450710376145055,0.945039437924836
32.0,32.0,24.0,0.01,1.910995025029833,0.2378467552513505,0.9377205890038836
32.0,32.0,24.0,0.005,1.9109659893824624,0.2309951038160882,0.9304193477108536
32.0,32.0,24.0,0.004,1.9109594609217573,0.22971693816741665,0.9290436911586484
32.0,32.0,24.0,0.003,1.9109526915361537,0.2285266148870487,0.9277135065684664
32.0,32.0,24.0,0.002,1.9109456810060623,0.2275138484126369,0.9265525538735296
32.0,32.0,24.0,0.001,1.910938429105911,0.2269751364067275,0.9257860323498432
42.0,42.0,31.0,0.02,1.911035134704636,0.2582776823595577,0.9497645608216424
42.0,42.0,31.0,0.019,1.9110356108189308,0.2555219420380446,0.9474389960692012
42.0,42.0,31.0,0.018000000000000002,1.9109894086519763,0.2531943100364102,0.9451293765835868
42.0,42.0,31.0,0.017,1.9109991964256496,0.2507234151818243,0.9426831522818192
42.0,42.0,31.0,0.016,1.910996107726064,0.24835377105680004,0.9404419928723988
42.0,42.0,31.0,0.015,1.9110180667391543,0.2460376999128751,0.9382263590689799
42.0,42.0,31.0,0.013999999999999999,1.9109789659048841,0.2435448419186084,0.9356769207681302
42.0,42.0,31.0,0.013,1.91101576902181,0.24141857508729184,0.9334977737595777
42.0,42.0,31.0,0.012,1.9110049597656968,0.2392801478988084,0.9312816457291792
42.0,42.0,31.0,0.011,1.910955639735092,0.23711614466695274,0.9289124381646192
42.0,42.0,31.0,0.01,1.910995025029833,0.2353307476777056,0.9266571049054754
42.0,42.0,31.0,0.009000000000000001,1.9109739602741918,0.23264395936787605,0.924109688596527
42.0,42.0,31.0,0.008,1.9109841313081912,0.2304737187485843,0.9219343495060106
42.0,42.0,31.0,0.006999999999999999,1.910957336489208,0.2280016338609137,0.9195120394214359
42.0,42.0,31.0,0.006,1.91097227713022,0.2258262453910345,0.9172454490267924
42.0,42.0,31.0,0.005,1.9109659893824624,0.22380637106242665,0.9149314733692876
42.0,42.0,31.0,0.004,1.9109594609217573,0.2216154638066168,0.912666197555843
42.0,42.0,31.0,0.003,1.9109526915361537,0.2196440389309693,0.9104614571444316
42.0,42.0,31.0,0.002,1.9109456810060623,0.21790687828891786,0.908425814931038
42.0,42.0,31.0,0.001,1.910938429105911,0.21661111804114228,0.906786913147115
